CUSTOMER_NUMBER,CUSTOMER_ITEM_NUMBER
1193,1007-004730
1193,1007-006010
1193,1007-006300
1193,1009-000840
1193,1009-001040
1193,1012-003740
1193,1012-00383A
1193,1012-005400
1193,1012-005430
1193,1013-001090
1193,1013-001480
1193,1014-000720
1193,1014-000720
1193,1016-000140
1193,1099-004620
1193,1500-000160
1193,1500-00016A
1193,1500-00030B
1193,1500-000310
1193,1500-000310
1193,1500-000310
1193,1500-00031A
1193,1500-00031B
1193,1500-000660
1193,1500-000860
1193,1500-001030
1193,1500-00106A
1193,1500-002040
1193,1500-002060
1193,1501-00041X
1193,1501-00041X
1193,1501-00045B
1193,1501-00045B
1193,1501-00045H
1193,1501-000590
1193,1501-00059B
1193,1501-001100
1193,1501-001140
1193,1501-00126A
1193,1501-001350
1193,1501-00138A
1320,1049908
1320,1055065
1320,1204067
1320,1233532
1320,1258764
1320,2-61001-0008
1320,2-61001-0013
1320,2-61001-0018
1320,302-0004-02
1320,304-0074-02
1320,04-01-TL062C
1320,04-02-P82B96-S
1320,04-03-2003
1320,04-05-74HC04-S
1320,04-05-74HC08-S
1320,04-05-74HC14-S
1320,04-05-74HC245
1320,04-05-74HC373-S
1320,04-05-74HC4053-4S
1320,04-05-74HCT14-S
1320,04-05-74LVC07ADT-S
1320,04-05-74LVC08A-S
1320,04-05-74LVC138A-S
1320,04-05-74LVC16245A-S
1320,04-05-74LVC1G04-S
1320,04-05-74LVC1G04-S
1320,04-05-74LVC32A-S
1320,04-05-74LVC74APG-S
1320,04-05-74LVC74APG-S
1471,172-223904-400G
1320,06-01-BZV55-C12-S
1320,06-01-BZX84C3V3-S
1320,06-04-BAT54C-S
1320,06-04-MMBD7000-S
1320,100007
1320,100027
1320,100030
1320,100034
1320,100040
1320,100089
1320,100277
1320,100277G
1320,100279
1320,100294
1320,100353
1320,100378
1320,100382
1320,100383
1320,100418
1320,100577G
1333,04.00817.030E
1333,130022-002-68
1333,136669-004-28
1333,74.03843.030B
1333,74HC04D
1333,BAT54SW
1333,PMBT3906
1333,TPS61042
1339,342-0005000309
1339,342-0055000305
1333,MLB321611-0150A-N4
1382,ECL00273
1509,50000100058
1509,TA7368F
1522,7706000HXB
1522,7706000HXBG0
2023,IC-M5632AS
1455,4IB1000C01X0
1455,4IB1000C01
1455,4IB1001DA1X0
1455,4IB8001DA2X0
1455,4IB8001DA2
1455,4IB8001DA1
1455,4IB8001DA1X0
2478,TRS 2SA1362-GR
2615,11-349010
2478,DIS 1SS367(TPH3)
1455,4IB8001EA2
1455,4IB8001EA1
1455,4IB8001EA1X0
1151,1903-002880
1455,4IB1001DA1
1382,ECL00400-LF
2672,5DD-000006XA0LM
2672,5TR-000045XA00I
2615,11-329032
2672,5IC-000010XA00M
2672,5IC-000067XA00M
2672,5IC-000163XA00M
1333,06.22645.020AG
2478,DIS 1SV214
2615,11-349006
9995,2711-F574DWR
9995,2778-71V2560
9995,2780-00815J3
9995,27A6-56AH15J
9995,27A6-56AH15J
9995,27A6-643210T
9995,27A6-643210T
1151,1004-002030
1193,1004-002030
1151,1004-002320
1193,1004-002320
1151,1004-002450
1151,1007-00045A
1151,1007-004750
1151,1007-00475A
1193,1007-00475A
1151,1007-00524A
1193,1007-00524A
1151,1007-006750
1193,1007-006750
1151,1009-000330
1193,1009-000330
1193,1009-000330
1151,1010-00109A
1151,1601-004020
1193,1601-004020
1151,1604-00014C
1193,1604-00014C
1151,1604-000380
1193,.
1193,1004-002670
1193,1502-000480
1193,1604-000210
1193,1003-000640
1193,1003-000640
1193,1003-000670
1193,1004-000720
1193,1004-001620
1320,04-07-AD8390ACP-S
1193,1004-002680
1193,1007-005640
1193,1008-001000
1193,1009-000390
1193,1009-000680
1193,1009-000680
1193,1009-000850
1193,1010-00002A
1193,1010-001710
1320,1292296
1193,1012-004680
1193,1012-004710
1193,1012-005940
1193,1012-005950
1193,1012-005960
1193,1012-006030
1193,1016-000180
1320,1034206
1320,1038667
1320,1282921
1320,04-05-74ACT2228-S
1320,04-05-74HC126-S
1320,04-06-25128
1320,04-06-62LV1024T-S
1320,04-07-BQ4802LYPW-S
1320,04-07-PCA9513DP-S
1320,100468
1333,482189-001-99
1471,123-102720-200G
1339,353-5374024500
1339,355-3903384000
1339,356G7315200300
1320,305-0126-12
1320,305-0244-12
1320,305-0373-02
1320,307-1013-22
1320,3800-4148-11
1320,400-5232-02
1320,400-5242-02
1320,400-5261-02
1320,4001-0002-11
1320,410-3904-02
1320,410-5400-02
1320,410-5401-02
1320,412-7002-02
1320,G04-06-AT25128A
1382,ECT00029
1382,ECT00039-LP
1455,4D0BAT5402X0
1455,4D0BAT5404X0
1455,4D0BAV7001
1455,4DMBR05301
1455,4DMBR05401
1455,4DMBR130L1
1455,4DMBR26001
1455,4DMBRS1402
1455,4DMBRS1402
1455,4DMBRS1402X0
1455,4H060N0201
1455,4H060N0202X0
1455,4H080N0201
1455,4H090N0201
1455,4H090N0201X0
1455,4H110N0201X0
1455,4H125N0201
1455,4H2N700201
1455,4H2N700201X0
1455,4H2N700202
1455,4H2N700202
1455,4H2N700203X0
1455,4T00390402X0
1455,4T02003A00
1455,4T02003A00X0
1455,4T045H1101
1455,4T0BC84702
1455,4T0BC84702X0
1471,141-018810-210G
1471,141-020020-200
1471,141-020020-200G
1471,141-020020-200G
1471,141-020100-200
1471,141-020100-200G
1471,141-053140-200
1471,141-098831-200
1471,141-098831-200G
1471,147-034100-200
1471,147-034100-200G
1471,171-200160-200
1471,171-200160-200G
1471,171-200700-200
1471,171-200700-200G
1471,171-209140-200
1471,171-209140-200G
1471,171-214148-200
1471,171-214148-200
1471,171-214148-200G
1471,171-214148-200G
1471,171-405100-200G
1471,171-451500-2004
1471,171-451500-2004G
1471,171-451610-6004
1471,171-451610-6004G
1471,171-453600-300
1471,171-454700-300
1471,171-455100-2004G
1471,171-455100-300
1471,171-455100-300G
1471,171-500230-200
1471,171-500230-200G
1471,171-500560-200
1471,171-500560-200G
1471,231-202575-100
1471,231-202575-100G
1471,231-202576-140
1471,231-202576-140G
1471,231-207805-3006
1471,231-207805-300G
1471,231-475710-200G
1471,265-101031-200
1455,310ACH1401
1455,310ACH7401
1455,310LVC0801
1455,31LVC1G071
1455,3I001G0801
1455,3I001G0803
1455,3I001G1401
1455,3I001G1402
1455,3I001G3202
1455,3I00200501
1455,3I00330601
1455,3I00740701
1455,3I01G12501
1455,3I01G12503
1455,3I01G12601
1455,3I074F0001
1455,3I07SZ6601
1455,3I0HCT1401
1455,3I0LVC0701
1455,3I0LVC7401
1455,3I2010PW01
1455,3I74F24502
1455,3I74HC1401
1455,3I74LVC141
1455,3IABT24502
1455,3IAHC1G001
1455,3IAHC1G041
1455,3IAHC1G081
1455,3IAHC1G141
1455,3IAHC1G861
1455,3K82B71501
1455,3LLM358DR1
1339,355-392226DB10
1339,355-392226DB10
1193,1012-004970
1193,1013-001500
1193,1017-000010
1193,1017-000040
1320,1011-001000
1320,309-1025-02
1320,309-1097-02
1320,1196936
1320,1205423
1320,04-06-25128
1320,1257117
1320,04-07-GS3800AAA003-S
1320,1269221
1320,1292298
1320,2-61100-3699
1320,04-06-63LV102415JI-S
1320,04-06-63LV102415JI-S
1320,04-06-80C32
1320,04-06-89C51
1320,04-06-89C51
1320,04-06-89C52-S
1320,04-07-3720474001R-S
1320,04-07-7266474002J-S
1320,04-07-7566812004U-S
1320,04-07-VC45500I-166-S
1333,473758-002-26
1333,MESI2302ADST1E3
1333,SI2312DS
1333,SI3447DV
1333,SI3447DV
1339,342-0500480010
1455,4H00480002X0
1339,355-3901624510
1320,307-1013-22
1339,356-380016V801
1339,356-380020V800
1339,356-7315200300
1339,356G2400240200
1339,357-5200151000
1339,357-5200151000
1471,141-015100-200G
1339,357-5600141000
1339,357G5600141000
1320,305-0244-22
1320,307-1013-02
1320,309-1040-02
1320,309-1087-02
1320,309-1040-02
1320,309-1087-02
1320,330-1046-02
1382,ECU01159
1382,ECU01160
1339,359-2100151710
1339,359-2207523214
1339,359G2207523214
1455,3VL8254602
1455,3VL8254603X0
1455,4H00441201
